id,make,model,year,vin,country,owner,currentgaslevel,dailyrate
1,Mercedes-Benz,CL-Class,2001,WA1DGAFE6BD995086,RU,␣,21.02,$75.63
2,Honda,Ridgeline,2012,1GTN1TEX2DZ587104,RU,NULL,7.53,$132.56
3,Lexus,ES,1995,WDDHF2EB9CA733627,CZ, ,5.71,$223.92
4,Maserati,430,1989,3D7JB1EK7BG995573,MK,사회과학원 어학연구소,24.11,$48.14
5,Ford,Escort,1986,WAUPFAFM7CA739794,CN,１２３,2.42,$198.37
6,Ford,Tempo,1987,1J4PN2GK9AW696191,CN,👩🏽,16.05,$136.42
7,Lexus,GS,2004,JN1AZ4EH8CM521063,PT,⁰⁴⁵,9.89,$28.04
8,Chrysler,300M,2001,WAUGVAFR7BA049590,NI,₀₁₂,15.95,$199.30
9,Audi,4000CS Quattro,1986,1FAHP3CN7AW242277,JP,'',18.33,$40.66
10,Suzuki,SJ,1994,1VWAH7A38EC084487,FR,-1/2,23.34,$135.09
11,Maybach,62,2003,2HNYD28467H440122,ID,<svg><script>0<1>alert('XSS')</script>,2.2,$26.18
12,BMW,8 Series,1996,JM3ER2A50B0383109,CZ,社會科學院語學研究所,11.27,$126.13
13,Isuzu,Rodeo Sport,2003,3GTXKYEJ1AG761464,TH,1/0,11.9,$86.07
14,Mercedes-Benz,GLK-Class,2012,3N6CM0KN2FK685448,BR,̡͓̞ͅI̗̘̦͝n͇͇͙v̮̫ok̲̫̙͈i̖͙̭̹̠̞n̡̻̮̣̺g̲͈͙̭͙̬͎ ̰t͔̦h̞̲e̢̤ ͍̬̲͖f̴̘͕̣è͖ẹ̥̩l͖͔͚i͓͚̦͠n͖͍̗͓̳̮g͍ ̨o͚̪͡f̘̣̬ ̖̘͖̟͙̮c҉͔̫͖͓͇͖ͅh̵̤̣͚͔á̗̼͕ͅo̼̣̥s̱͈̺̖̦̻͢.̛̖̞̠̫̰,25.47,$89.06
15,Porsche,944,1987,2C3CCAXJ6DH315870,CN,和製漢語,17.78,$158.53
16,Volkswagen,Fox,1992,1N6AD0CU3AC504787,CN,,11.66,$194.75
17,Chevrolet,Silverado 3500,2003,WAUKF78E06A342113,MX,"ثم نفس سقطت وبالتحديد،, جزيرتي باستخدام أن دنو. إذ هنا؟ الستار وتنصيب كان. أهّل ايطاليا، بريطانيا-فرنسا قد أخذ. سليمان، إتفاقية بين ما, يذكر الحدود أي بعد, معاملة بولندا، الإطلاق عل إيو.",25.82,$44.17
18,Pontiac,Grand Am,1998,TRUWX28N921178297,CN,😍,17.93,$203.01
19,Suzuki,Daewoo Lacetti,2005,JA4AS2AWXCU272463,SE,␡,25.26,$139.50
20,Honda,Civic,1999,JA4AS2AW4BU490784,VE,"'""'",6.88,$53.91
21,Ford,E250,2011,KNDMG4C75B6774564,GR, test ,13.02,$139.45
22,Scion,xA,2006,JN8AE2KP9C9385428,FR, ,6.64,$172.16
23,Lincoln,Navigator,2012,3N1CN7AP0FL983702,GR,1,22.25,$169.46
24,Mercedes-Benz,CL-Class,2010,YV1902MM8F1809341,PT,-1E+02,0.47,$179.44
25,Hyundai,Accent,2010,WBA6B2C52FG518714,TN,1;DROP TABLE users,19.79,$182.26
26,Lincoln,MKT,2010,JH4CW2H57CC736653,AR,(╯°□°）╯︵ ┻━┻)  ,2.23,$178.23
27,Mitsubishi,Tredia,1984,WBAVC53558F633066,VE,̦H̬̤̗̤͝e͜ ̜̥̝̻͍̟́w̕h̖̯͓o̝͙̖͎̱̮ ҉̺̙̞̟͈W̷̼̭a̺̪͍į͈͕̭͙̯̜t̶̼̮s̘͙͖̕ ̠̫̠B̻͍͙͉̳ͅe̵h̵̬͇̫͙i̹͓̳̳̮͎̫̕n͟d̴̪̜̖ ̰͉̩͇͙̲͞ͅT͖̼͓̪͢h͏͓̮̻e̬̝̟ͅ ̤̹̝W͙̞̝͔͇͝ͅa͏͓͔̹̼̣l̴͔̰̤̟͔ḽ̫.͕,10.93,$41.36
28,Nissan,Maxima,1992,5XYKT3A1XCG228806,HR,(╯°□°）╯︵ ┻━┻)  ,14.64,$132.33
29,Chevrolet,Silverado 3500,2010,1D7RB1CT3AS316808,EG,⁰⁴⁵₀₁₂,6.16,$135.39
30,Toyota,MR2,1994,3VW517AT8FM181713,NO,"""'""'""''''""",23.98,$229.50
31,GMC,Canyon,2006,WBA3X9C5XED243333,CA,הָיְתָהtestالصفحات التّحول,5.64,$136.60
32,Mazda,MX-5,1993,1D4PT2GK7AW042305,CN,社會科學院語學研究所,22.13,$223.96
33,Nissan,Altima,2011,SCFEFBAC0AG081018,BR,../../../../../../../../../../../etc/hosts,12.67,$64.47
34,Land Rover,Freelander,2008,WBA3R1C58EK059256,PH,999999999999999999999999999999999999999999999999999999999999999999999999999999999999999999999999,16.74,$205.70
35,Mercedes-Benz,S-Class,1994,1G6KD57Y88U451173,ID,１２３,19.32,$58.16
36,Jeep,Commander,2009,WBAAZ33473K890691,PH,"""""",4.01,$164.43
37,Mercedes-Benz,SLS-Class,2011,2FMGK5BC3CB210438,JP,Ω≈ç√∫˜µ≤≥÷,7.35,$222.66
38,Cadillac,DeVille,1997,2T1BPRHE2FC622638,CZ,和製漢語,13.08,$62.58
39,Jeep,Cherokee,1993,5N1AR2MMXDC166447,GR,-1E2,23.3,$45.28
40,Chrysler,Town & Country,2002,1G6DV1EP6F0808718,MG,<script>alert('hi')</script>,0.89,$224.64
41,Chevrolet,Express 2500,2004,5GAKRBKD1FJ044104,RU,̡͓̞ͅI̗̘̦͝n͇͇͙v̮̫ok̲̫̙͈i̖͙̭̹̠̞n̡̻̮̣̺g̲͈͙̭͙̬͎ ̰t͔̦h̞̲e̢̤ ͍̬̲͖f̴̘͕̣è͖ẹ̥̩l͖͔͚i͓͚̦͠n͖͍̗͓̳̮g͍ ̨o͚̪͡f̘̣̬ ̖̘͖̟͙̮c҉͔̫͖͓͇͖ͅh̵̤̣͚͔á̗̼͕ͅo̼̣̥s̱͈̺̖̦̻͢.̛̖̞̠̫̰,20.98,$99.63
42,GMC,Savana 3500,2002,WBAWL73567P954154,ID,␢,16.74,$105.55
43,GMC,Savana 1500,2008,WBAVM5C58DV077462,HT,¡™£¢∞§¶•ªº–≠,17.45,$22.93
44,Volvo,V50,2008,5NPDH4AE5BH919008,JP,␣,21.66,$62.66
45,Pontiac,GTO,1967,WA1YD54B83N266268,CN,　,5.79,$47.40
46,Ford,Thunderbird,1988,1GD11ZCG5BF349570,US,Œ„´‰ˇÁ¨ˆØ∏”’,11.96,$231.46
47,GMC,Envoy XL,2004,WDDNG7BB6AA171605,UA,パーティーへ行かないか,18.03,$104.67
48,Ford,Bronco,1996,WA1VYAFE2AD730262,PH,울란바토르,17.41,$179.14
49,Volkswagen,Eurovan,1997,1FT7W2A64EE653465,PT,"__ﾛ(,_,*)",6.77,$188.13
50,Dodge,Dakota Club,2006,JTDKTUD36DD835191,KM,̡͓̞ͅI̗̘̦͝n͇͇͙v̮̫ok̲̫̙͈i̖͙̭̹̠̞n̡̻̮̣̺g̲͈͙̭͙̬͎ ̰t͔̦h̞̲e̢̤ ͍̬̲͖f̴̘͕̣è͖ẹ̥̩l͖͔͚i͓͚̦͠n͖͍̗͓̳̮g͍ ̨o͚̪͡f̘̣̬ ̖̘͖̟͙̮c҉͔̫͖͓͇͖ͅh̵̤̣͚͔á̗̼͕ͅo̼̣̥s̱͈̺̖̦̻͢.̛̖̞̠̫̰,7.99,$216.74
51,Toyota,Camry,2010,2C3CDYAG1EH970409,RU,😍,21.09,$131.74
52,Audi,S4,2011,5N1AL0MM8FC413697,IT,`⁄€‹›ﬁﬂ‡°·‚—±,1.7,$48.80
53,Jeep,Patriot,2007,WAUHE78P99A530244,PT,null,11.91,$83.75
54,Ford,Mustang,1992,SAJWJ1CDXF8236890,CN,1E02,25.62,$242.52
55,Mitsubishi,Lancer,2001,1FTEW1CM4EK223238,MT,999999999999999999999999999999999999999999999999999999999999999999999999999999999999999999999999,4.23,$23.32
56,Mitsubishi,Starion,1986,2C3CDXEJXEH499246,KZ,"""''''""'""",24.56,$66.09
57,Jaguar,X-Type,2007,1N6AA0CH8FN383102,RU,👾 🙇 💁 🙅 🙆 🙋 🙎 🙍 ,22.36,$135.50
58,Chevrolet,Sportvan G20,1995,WAUNF78P87A389146,AR,-1E2,14.4,$133.63
59,Subaru,Impreza,2010,5XYZT3LB5EG477439,SV,　,0.99,$104.40
60,Chrysler,300,2012,WUAPV64B73N925450,CD,<img src=x onerror=alert('hi') />,21.03,$121.83
61,Mercury,Mountaineer,2002,WBAVT73568F952570,RU,​,0.76,$37.05
62,Mitsubishi,Mirage,2001,5J8TB3H54DL947427,CN,🚾 🆒 🆓 🆕 🆖 🆗 🆙 🏧,8.89,$62.47
63,Pontiac,Grand Prix,1967,WAUWFAFR7CA495734,FR,‪‪test‪,21.37,$192.15
64,Oldsmobile,Cutlass Cruiser,1993,1G6AF5SX3E0566108,VN,1/2,8.91,$70.05
65,Lexus,LS,1993,WDDHF2EB3BA510577,SE,⁦test⁧,18.32,$164.95
66,Isuzu,Trooper,1996,SCBBR53W968425032,PE,"""'""'""''''""",7.63,$86.01
67,Volkswagen,Corrado,1992,5UXFG2C53E0628410,CN,$1.00,13.02,$151.57
68,Jaguar,S-Type,2004,WAUKH98E76A926675,RU,"ثم نفس سقطت وبالتحديد،, جزيرتي باستخدام أن دنو. إذ هنا؟ الستار وتنصيب كان. أهّل ايطاليا، بريطانيا-فرنسا قد أخذ. سليمان، إتفاقية بين ما, يذكر الحدود أي بعد, معاملة بولندا، الإطلاق عل إيو.",24.02,$38.97
69,Mitsubishi,Pajero,1991,WBA5M6C56ED331554,ID,社會科學院語學研究所,1.27,$214.45
70,Pontiac,Grand Am,1996,YV4612HK3F1803801,ID,$1.00,19.26,$66.90
71,Toyota,Celica,1998,WBA3R5C5XFK070865,ID,｀ｨ(´∀｀∩,7.05,$24.08
72,Lexus,GX,2007,KMHTC6AD0CU585535,RU,!@#$%^&*(),24.85,$67.32
73,Honda,Odyssey,2001,WAUPL58E04A887468,SY,🚾 🆒 🆓 🆕 🆖 🆗 🆙 🏧,2.46,$82.55
74,Chevrolet,Corsica,1996,5LMJJ2JT1FE797577,US,田中さんにあげて下さい,8.11,$111.34
75,Dodge,Ram Van 1500,1999,3VW4T7AT1DM183855,CU,() { 0; }; touch /tmp/blns.shellshock1.fail;,13.2,$45.40
76,Porsche,Panamera,2010,WAUBFAFL9AA823503,RU,null,1.82,$148.85
77,Pontiac,Grand Prix,1991,WBANW13589C802676,BW,␡,18.33,$29.74
78,Chevrolet,Express 3500,2000,1N6AA0CA3EN177171,CN,NULL,6.65,$139.06
79,Toyota,Tercel,1995,WAUVT58E72A236231,PF,"""""",20.1,$65.35
80,Mazda,Protege,2000,2T2BK1BA7FC467912,ID,00˙Ɩ$-,0.28,$105.15
81,Toyota,Corolla,2009,1C6RD7KP5CS100898,UA,NIL,8.24,$223.52
82,BMW,X3,2006,JA32U2FU4DU130413,PE,˙ɐnbᴉlɐ ɐuƃɐɯ ǝɹolop ʇǝ ǝɹoqɐl ʇn ʇunpᴉpᴉɔuᴉ ɹodɯǝʇ poɯsnᴉǝ op pǝs 'ʇᴉlǝ ƃuᴉɔsᴉdᴉpɐ ɹnʇǝʇɔǝsuoɔ 'ʇǝɯɐ ʇᴉs ɹolop ɯnsdᴉ ɯǝɹo˥,15.9,$176.89
